Date	        Open	High	Low	    Close	Volume	        Market Cap
Dec 31, 2022	$0.2456	$0.2517	$0.2444	$0.2465	$144,122,815	$8,505,385,897
Dec 30, 2022	$0.2441	$0.246	$0.2404	$0.2456	$159,952,057	$8,475,819,239
Dec 29, 2022	$0.2484	$0.2485	$0.2411	$0.2441	$214,425,739	$8,425,105,471
Dec 28, 2022	$0.2604	$0.2608	$0.248	$0.2484	$209,596,269	$8,571,407,498
Dec 27, 2022	$0.2653	$0.266	$0.2575	$0.2604	$164,331,309	$8,985,284,421
Dec 26, 2022	$0.2593	$0.2653	$0.258	$0.2653	$151,542,330	$9,155,306,256
Dec 25, 2022	$0.2594	$0.2599	$0.2553	$0.2593	$118,238,326	$8,945,785,641
Dec 24, 2022	$0.2594	$0.2604	$0.2574	$0.2594	$90,666,010	$8,948,199,841
Dec 23, 2022	$0.2565	$0.2623	$0.2558	$0.2594	$178,906,111	$8,949,518,920
Dec 22, 2022	$0.2532	$0.2568	$0.2482	$0.2565	$174,290,867	$8,849,277,113
Dec 21, 2022	$0.259	$0.2592	$0.2492	$0.2532	$204,481,179	$8,733,063,580
Dec 20, 2022	$0.253	$0.2615	$0.2522	$0.259	$187,028,227	$8,934,323,407
Dec 19, 2022	$0.2663	$0.2693	$0.2511	$0.2529	$225,101,432	$8,723,912,154
Dec 18, 2022	$0.2669	$0.2707	$0.264	$0.2663	$178,941,855	$9,184,444,799
Dec 17, 2022	$0.264	$0.2672	$0.2603	$0.2669	$336,512,356	$9,203,922,594
Dec 16, 2022	$0.3002	$0.3011	$0.2618	$0.2641	$415,410,448	$9,105,451,013
Dec 15, 2022	$0.3081	$0.3085	$0.2984	$0.3002	$221,898,095	$10,351,291,543
Dec 14, 2022	$0.3129	$0.3152	$0.3068	$0.3081	$255,357,209	$10,623,473,959
Dec 13, 2022	$0.3069	$0.318	$0.3002	$0.3129	$304,333,274	$10,785,044,277
Dec 12, 2022	$0.3077	$0.3078	$0.3026	$0.3069	$180,119,689	$10,581,074,376
Dec 11, 2022	$0.3126	$0.3149	$0.3067	$0.3077	$121,149,579	$10,607,356,054
Dec 10, 2022	$0.3117	$0.3148	$0.3113	$0.3126	$95,343,947	$10,775,171,840
Dec 09, 2022	$0.3148	$0.3163	$0.3094	$0.3117	$158,935,988	$10,741,574,465
Dec 08, 2022	$0.3103	$0.3156	$0.3081	$0.3148	$164,158,396	$10,849,250,281
Dec 07, 2022	$0.3185	$0.319	$0.3081	$0.3103	$224,226,547	$10,693,392,744
Dec 06, 2022	$0.3195	$0.3209	$0.3143	$0.3185	$162,651,156	$10,974,001,625
Dec 05, 2022	$0.3227	$0.3288	$0.3173	$0.3195	$202,743,238	$11,010,330,604
Dec 04, 2022	$0.3196	$0.3237	$0.3188	$0.3227	$174,449,332	$11,119,224,611
Dec 03, 2022	$0.3194	$0.3256	$0.3171	$0.3197	$228,514,876	$11,010,992,668
Dec 02, 2022	$0.3145	$0.3198	$0.3118	$0.3194	$189,604,155	$11,002,500,418
Dec 01, 2022	$0.3189	$0.3195	$0.3136	$0.3145	$205,527,704	$10,832,906,105
Nov 30, 2022	$0.3094	$0.3206	$0.3091	$0.3189	$272,587,134	$10,984,442,289
Nov 29, 2022	$0.3067	$0.3124	$0.305	$0.3094	$184,241,191	$10,654,448,435
Nov 28, 2022	$0.3125	$0.3138	$0.3014	$0.3067	$268,746,809	$10,560,890,351
Nov 27, 2022	$0.3138	$0.3192	$0.3123	$0.3125	$167,898,046	$10,759,011,470
Nov 26, 2022	$0.315	$0.3219	$0.3122	$0.3138	$206,097,213	$10,805,018,099
Nov 25, 2022	$0.3164	$0.3168	$0.3083	$0.315	$205,372,207	$10,846,337,644
Nov 24, 2022	$0.3183	$0.3207	$0.3125	$0.3165	$221,490,892	$10,894,454,967
Nov 23, 2022	$0.312	$0.3192	$0.3099	$0.3183	$326,001,398	$10,956,925,800
Nov 22, 2022	$0.3045	$0.3159	$0.2991	$0.3119	$303,965,817	$10,736,814,752
Nov 21, 2022	$0.3123	$0.3126	$0.2973	$0.3045	$402,254,597	$10,482,985,008
Nov 20, 2022	$0.3285	$0.3307	$0.3111	$0.3123	$241,625,735	$10,750,077,836
Nov 19, 2022	$0.3262	$0.3317	$0.3231	$0.3285	$160,053,174	$11,305,246,945
Nov 18, 2022	$0.3249	$0.3322	$0.3214	$0.3262	$223,268,757	$11,224,873,203
Nov 17, 2022	$0.3324	$0.334	$0.32	$0.3249	$238,288,352	$11,178,002,268
Nov 16, 2022	$0.337	$0.3439	$0.3254	$0.3324	$279,986,402	$11,436,873,170
Nov 15, 2022	$0.3319	$0.3441	$0.3303	$0.337	$312,070,544	$11,595,044,193
Nov 14, 2022	$0.3301	$0.3406	$0.3159	$0.3318	$484,659,345	$11,415,610,199
Nov 13, 2022	$0.3392	$0.3449	$0.3274	$0.3301	$405,636,157	$11,355,096,055
Nov 12, 2022	$0.3549	$0.3558	$0.3385	$0.3391	$389,700,815	$11,665,245,315
Nov 11, 2022	$0.369	$0.373	$0.3434	$0.3547	$595,121,832	$12,185,192,122
Nov 10, 2022	$0.3179	$0.3766	$0.3143	$0.369	$1,353,707,790	$12,676,834,729
Nov 09, 2022	$0.372	$0.3753	$0.3124	$0.3178	$1,446,651,845	$10,917,133,872
Nov 08, 2022	$0.4042	$0.4135	$0.3533	$0.3718	$1,420,168,187	$12,770,172,251
Nov 07, 2022	$0.403	$0.4157	$0.399	$0.4043	$554,735,710	$13,883,778,362
Nov 06, 2022	$0.4267	$0.4303	$0.403	$0.403	$495,843,423	$13,840,734,880
Nov 05, 2022	$0.4215	$0.4362	$0.4208	$0.4267	$701,622,249	$14,655,703,632
Nov 04, 2022	$0.3894	$0.4253	$0.3888	$0.4215	$909,794,346	$14,473,406,443
Nov 03, 2022	$0.3861	$0.3984	$0.3851	$0.3894	$445,099,982	$13,369,159,374
Nov 02, 2022	$0.4014	$0.4077	$0.3823	$0.3861	$741,360,035	$13,254,346,618
Nov 01, 2022	$0.4063	$0.4144	$0.3999	$0.4014	$452,398,724	$13,780,486,410
Oct 31, 2022	$0.406	$0.4152	$0.3987	$0.4063	$569,992,895	$13,949,931,881
Oct 30, 2022	$0.4199	$0.4212	$0.4004	$0.406	$577,564,479	$13,936,754,372
Oct 29, 2022	$0.4045	$0.4357	$0.4023	$0.4198	$855,151,911	$14,405,977,662
Oct 28, 2022	$0.3887	$0.4107	$0.3801	$0.4045	$618,236,710	$13,881,881,539
Oct 27, 2022	$0.4035	$0.4143	$0.3885	$0.3887	$719,088,729	$13,339,330,804
Oct 26, 2022	$0.4017	$0.4102	$0.3964	$0.4035	$761,857,225	$13,845,770,836
Oct 25, 2022	$0.3578	$0.4142	$0.3577	$0.402	$1,215,554,912	$13,792,213,191
Oct 24, 2022	$0.3621	$0.3646	$0.3544	$0.3579	$389,895,509	$12,276,296,712
Oct 23, 2022	$0.3514	$0.3633	$0.3466	$0.3621	$394,201,921	$12,421,822,428
Oct 22, 2022	$0.3491	$0.354	$0.344	$0.3514	$345,854,400	$12,055,098,737
Oct 21, 2022	$0.3403	$0.3496	$0.331	$0.3491	$513,576,018	$11,974,159,638
Oct 20, 2022	$0.35	$0.3555	$0.3377	$0.3403	$497,190,070	$11,669,724,978
Oct 19, 2022	$0.3619	$0.3622	$0.3496	$0.35	$430,500,856	$12,003,328,905
Oct 18, 2022	$0.3723	$0.3739	$0.3593	$0.3618	$435,708,572	$12,407,546,681
Oct 17, 2022	$0.3703	$0.3753	$0.3666	$0.3723	$360,241,999	$12,768,504,362
Oct 16, 2022	$0.3638	$0.3744	$0.3638	$0.3703	$337,167,739	$12,696,667,788
Oct 15, 2022	$0.3668	$0.3694	$0.3621	$0.3637	$349,542,728	$12,470,594,901
Oct 14, 2022	$0.3776	$0.3885	$0.362	$0.3669	$563,104,935	$12,575,288,220
Oct 13, 2022	$0.3813	$0.382	$0.3512	$0.3776	$1,059,234,268	$12,945,062,371
Oct 12, 2022	$0.3906	$0.395	$0.3786	$0.3813	$470,666,876	$13,070,612,449
